0,1,2
ESRS G1 - BUSINESS CONDUCT,,
ESRS 2 General disclosures,See above,
Governance,,
"o Disclosure Requirement related to ESRS 2 GOV-1 – The role of 
the administrative, supervisory and management bodies Impact, risk",bodies,"6.1.1.2.1 GOV-1: The role of the administrative, management and supervisory"
and opportunity management,,
"o Disclosure Requirement related to ESRS 2 IRO-1 – Description of 
the processes to identify and assess material impacts, risks and",IROs,6.1.1.4.1 IRO-1: Description of the processes to identify and assess material
opportunities,,
"o Disclosure Requirement G1-1– Corporate culture and business 
conduct policies and corporate culture",6.4.1.2 Business conduct policies and corporate culture (G1-1),
"o Disclosure Requirement G1-2 – Management of relationships with 
suppliers",6.4.1.5 Management of relationships with suppliers (G1-2),
"o Disclosure Requirement G1-3 – Prevention and detection of 
corruption and bribery",6.4.1.3 Prevention and detection of corruption and bribery (G1-3),
Metrics and targets,,
"o Disclosure Requirement G1-4 – Confirmed incidents of corruption 
or bribery",6.4.1.4 Incidents of corruption or bribery (G1-4),
o Disclosure Requirement G1-6 – Payment practices,6.4.1.6 Payment practices (G1-6),
COMPANY SPECIFIC - CYBERSECURITY,,
ESRS 2 General disclosures,See above,
Strategy,,
"o Disclosure Requirement related to ESRS 2 SBM-3 – Material 
impacts, risks and opportunities and their interaction with strategy",with strategy and business model,"6.1.1.3.3 SBM-3: Material impacts, risks and opportunities and their interaction"
"and business model Impacts, risks and opportunities management",,
o Policies,6.4.2.2 Policies,
"o Taking action, and effectiveness of those actions",6.4.2.3 Actions and resources,
Metrics and targets,,
"o Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",6.4.2.4 Targets,
o Metrics,6.4.2.5 Metrics,
Table. Datapoints that derive from other EU legislations,,
"Disclosure 
Requirement and","Benchmark 
EU Climate 
Regulation (3) 
Law (4)",
"related datapoint 
SFDR (1) reference  Pillar 3 (2) reference","reference 
reference",Sustainability Statement
"ESRS 2 GOV-1 
Indicator number 13 
 
Board's gender diversity 
of Table #1 of Annex","Commission 
 
Delegated","6.1.1.2.1 GOV-1: The role of the 
administrative, management and"
"paragraph 21 (d) 
1","Regulation (EU) 
2020/1816 (5),",supervisory bodies
,Annex II,
"ESRS 2 GOV-1 
 
 
Percentage of board","Delegated 
 
Regulation","6.1.1.2.1 GOV-1: The role of the 
administrative, management and"
"members who are 
independent paragraph","(EU) 2020/1816, 
Annex II",supervisory bodies
21 (e),,
"ESRS 2 GOV-4 
Indicator number 10 
 
Statement on due 
Table #3 of Annex 1",,"6.1.1.2.4 GOV-4: Statement on due 
diligence"
diligence paragraph 30,,
