0,1
Disclosure Requirements (DR),Paragraphs
"S1-5 Targets related to managing significant negative impacts, promoting positive impacts and managing significant risks and opportunities",
S1-6 Company employee characteristics,
S1-7 Characteristics of external workers in the company’s workforce,
S1-8 Coverage of collective bargaining and social dialogue,
S1-9 Diversity metrics,
S1-10 Decent wages,4.Own workforce
S1-11 Social protection,4.c Metrics and targets
S1-12 Disabled persons,
S1-13 Training and competency development metrics,
S1-14 Health and safety metrics,
S1-15 Work-life balance metrics,
S1-16 Compensation metrics (compensation gap and total compensation),
"S1-17 Serious human rights cases, complaints and impacts",
ESRS S4 Consumers and End-users,
ESRS 2 SBM-2 Interests and views of interested parties,"1. General disclosures 
1.b Strategy, business model and"
,stakeholders
"ESRS 2 SBM-3 Significant impacts, risks and opportunities and interaction with strategy and business model","5. Consumers and end-users
5.a Strategy"
S4-1 Consumer and end-user policies,
S4-2 Process of interaction on impacts with consumers and end-users,"5. Consumers and end-users
5.b Impact, risk and opportunity"
S4-3 Adverse impact procedures and channels for consumers and end-users to raise concerns,management
"S4-4 Actions concerning significant impacts on consumers and end-users, approaches to manage significant risks and seize significant 
opportunities for consumers and end-users, and effectiveness of these actions",
"S4-5 Targets related to managing significant negative impacts, promoting positive impacts and managing significant risks and opportunities","5. Consumers and end-users
5.c Metrics and targets"
ESRS G1 Business Conduct,
"ESRS 2 GOV-1 The role of administrative, management and supervisory bodies","1. General disclosures 
1.a Governance"
"ESRS 2 IRO-1 Description of procedures for identifying and assessing significant impacts, risks and opportunities","1. General information 
Material impacts, risks and opportunities"
G1-1 Corporate Culture and Business Conduct Policies,"6. Business conduct
6.b Impact, risk and opportunity"
G1-3 Prevention and detection of corruption and bribery,management
G1-4 Proven Cases of Corruption or Proven Bribery,"6. Business conduct
6.c Metrics and targets"
G1-5 Political influence and lobbying activities,
Cybersecurity,"7. Additional information specific to the 
entity"
Market Integrity and Financial Security,
