0,1,2,3,4,5,6,7
ESRS E4-2,24 (d),Policies to address deforestation,✓,,,,Not material
ESRS E5-5,37 (d),Non-recycled waste,✓,,,,Not material
ESRS E5-5,39,"Hazardous waste and radioactive 
waste",✓,,,,Not material
"ESRS 2 SBM3 
- S1",14 (f),Risk of incidents of forced labour,✓,,,,Not material
"ESRS 2 SBM3 
- S1",14 (g),Risk of incidents of child labour,✓,,,,Not material
ESRS S1-1,20,Human rights policy commitments,✓,,,,"Material
(see page 
121-122)"
ESRS S1-1,21,"Due diligence policies on
issues addressed by the
fundamental International
Labor Organisation
Conventions 1 to 8",,,✓,,"Material
(see page 
121-122)"
ESRS S1-1,22,"Processes and measures for 
preventing trafficking in human beings",✓,,,,Not material
ESRS S1-1,23,"Workplace accident prevention policy 
or management system",✓,,,,"Material
(see page 
121-122)"
ESRS S1-3,32 (c),"Grievance/ complaints handling 
mechanisms",✓,,,,"Material
(see page 
123)"
ESRS S1-14,"88 (b), (c)","Number of fatalities and number and 
rate of work-related accidents",✓,,✓,,"Material
(see page 
125)"
ESRS S1-14,88 (e),"Number of days lost to injuries, 
accidents, fatalities or illness",✓,,,,"Material
(see page 
125)"
