0,1
ESRS E4 - BIODIVERSITY AND ECOSYSTEMS,
ESRS 2 General disclosures,See above
Strategy,
"o Disclosure Requirement E4-1 – Transition plan and consideration 
of biodiversity and ecosystems in strategy and business model","6.2.5.2 Transition plan and consideration of biodiversity and ecosystems in 
strategy and business model (E4-1)"
"o Disclosure Requirement related to ESRS 2 SBM-3 – Material 
impacts, risks and opportunities and their interaction with strategy","6.1.1.3.3 SBM-3: Material impacts, risks and opportunities and their interaction 
with strategy and business model"
"and business model Impact, risk and opportunity management","6.2.5.3 Material impacts, risks and opportunities and their interaction with 
strategy and business model (SBM-3)"
"o Disclosure Requirement related to ESRS 2 IRO-1 Description of 
processes to identify and assess material biodiversity and","6.1.1.4.1 IRO-1: Description of the processes to identify and assess material 
IROs"
"ecosystem-related impacts, risks and opportunities",
"o Disclosure Requirement E4-2 – Policies related to biodiversity and 
ecosystems","6.2.1 Policies 
6.2.5.4 Policies (E4-2)"
"o Disclosure Requirement E4-3 – Actions and resources related to 
biodiversity and ecosystems",6.2.5.5 Actions and resources (E4-3)
Metrics and targets,
"o Disclosure Requirement E4-4 – Targets related to biodiversity and 
ecosystems",6.2.5.6 Targets and metrics related to biodiversity and ecosystems (E4-4)
"o Disclosure Requirement E4-5 – Impact metrics related to 
biodiversity and ecosystems change",6.2.5.6 Targets and metrics related to biodiversity and ecosystems (E4-4)
ESRS E5 - RESOURCE USE AND CIRCULAR ECONOMY,
ESRS 2 General disclosures,See above
"Impact, risk and opportunity management",
"o Disclosure Requirement related to ESRS 2 IRO-1 – Description of 
the processes to identify and assess material resource use and","6.1.1.4.1 IRO-1: Description of the processes to identify and assess material 
IROs"
"circular economy-related impacts, risks and opportunities",
"o Disclosure Requirement E5-1 – Policies related to resource use 
and circular economy","6.2.1 Policies 
6.2.6.2 Policies (E5-1)"
"o Disclosure Requirement E5-2 – Actions and resources related to 
resource use and circular economy","6.2.6.3.1 Actions and resources (E5-2) 
6.2.6.4.1 Actions and resources (E5-2)"
Metrics and targets,
"o Disclosure Requirement E5-3 – Targets related to resource use 
and circular economy","6.2.6.3.2 Targets (E5-3) 
6.2.6.4.2 Targets (E5-3)"
o Disclosure Requirement E5-5 – Resource outflows,6.2.6.4.3 Metrics (E5-5)
ESRS S1 - OWN WORKFORCE,
ESRS 2 General disclosures,See above
Strategy,
"o Disclosure Requirement related to ESRS 2 SBM-2 – Interests and 
views of stakeholders",6.1.1.3.2 SBM-2: Interests and views of stakeholders
"o Disclosure Requirement related to ESRS 2 SBM-3 – Material 
impacts, risks and opportunities and their interaction with strategy","6.1.1.3.3 SBM-3: Material impacts, risks and opportunities and their interaction 
with strategy and business model"
"and business model Impacts, risks and opportunities management",
o Disclosure Requirement S1-1 – Policies related to own workforce,"6.3.1 Policies 
6.3.2.3 Own workforce policies (S1-1)"
,"6.3.2.7.1 Policies (S1-1) 
6.3.2.8.1 Policies (S1-1)"
,6.3.2.9.1 Policies (S1-1)
"o Disclosure Requirement S1-2 – Processes for engaging with own 
workers and workers’ representatives about impacts","6.3.2.4 Processes for engaging with own workers and workers’ representatives 
about impacts (S1-2)"
"o Disclosure Requirement S1-3 – Processes to remediate negative 
impacts and channels for own workers to raise concerns","6.3.2.5 Processes to remediate negative impacts and channels for own 
workers to raise concerns (S1-3)"
"o Disclosure Requirement S1-4 – Taking action on material impacts 
on own workforce, and approaches to mitigating material risks and","6.3.2.7.2 Actions and resources (S1-4) 
6.3.2.8.2 Actions and resources (S1-4)"
"pursuing material opportunities related to own workforce, and 
effectiveness of those actions",6.3.2.9.2 Actions and resources (S1-4)
Metrics and targets,
