0,1,2
Disclosure Requirement,Section/Subsection,Page
ESRS 2 General disclosures,,
BP-1 – General basis for preparation of sustainability statements,General basis for preparation of the sustainability report,97
BP-2 – Disclosures in relation to specific circumstances,Disclosures due to other legislation on sustainability reporting,97
"GOV-1 – The role of the administrative, management and supervisory bodies",Governance,110-112
"GOV-2 – Information provided to and sustainability matters addressed by the undertaking’s administrative, 
management and supervisory bodies",Consideration of sustainability matters in corporate supervision,112
GOV-3 – Integration of sustainability-related performance in incentive schemes,Sustainability-related performance in incentive schemes,116
GOV-4 – Statement on due diligence,Statement on due diligence,115
GOV-5 – Risk management and internal controls over sustainability reporting,Internal control system for sustainability reporting,117
"SBM-1 – Strategy, business model and value chain","Strategy, business model and value chain",113-114
SBM-2 – Interests and views of stakeholders,Stakeholders and stakeholder engagement,102
,"Overview of material impacts, risks and opportunities",98; 101
,"Details of the material impacts, risks and opportunities",104-107
,"Material impacts, risks and opportunities related to climate change",126-127
,"Material impacts, risks and opportunities related to pollution",146-147
,"Material impacts, risks and opportunities related to biodiversity and ecosystems",154
"SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model","Material impacts, risks and opportunities related to resource use and circular economy",159
,"Material impacts, risks and opportunities related to own workforce",170-171
,"Material impacts, risks and opportunities related to workers in the value chain",189
,"Material impacts, risks and opportunities related to affected communities",195
,"Material impacts, risks and opportunities related to consumers and end-users",199
,"Material impacts, risks and opportunities related to business conduct and corporate governance",205
,Process for identifying and assessing material IROs,99-101
"IRO-1 – Description of the process to identify and assess material impacts, risks and opportunities",Consideration of stakeholder interests and views,102
,"Details of the material impacts, risks and opportunities",104-105
IRO-2 – Disclosure Requirements in ESRS covered by the undertaking’s sustainability statement,Identification of the information to be disclosed based on the IRO assessment,104
,Overviews and indexes in accordance with ESRS 2,211-219
