0,1,2
Sustainability Report,,Annex to the sustainability Report
ESRS S4 Consumers and end-users,Customers,
"S4-1 
Policies related to consumers and end-users 
S4-2 
Processes for engaging with consumers and end-users about impacts","Policies: Personal safety of customers  
Processes: Engaging with customers","417 
419"
"S4-3 
Processes to remediate negative impacts and channels for consumers and end-users to","Processes: Remedial processes and reporting channels 
Processes: Remedial processes and reporting channels","419 
419"
"raise concerns 
S4-4 
Taking action on material impacts on consumers and end-users, and approaches to",Actions: Personal safety of customers,421
"managing material risks and pursuing material opportunities related to consumers and 
end-users, and effectiveness of those actions",,
"S4-5 
Targets related to managing material negative impacts, advancing positive impacts, and 
managing material risks and opportunities",Targets: Personal safety of customers,424
ESRS G1 – Business conduct,Business conduct information,
"G1-1 
Corporate culture and business conduct policies","Corporate culture 
Protection of whistleblowers","426 
430"
"G1-2 
Management of relationships with suppliers","Corruption and bribery 
Management of relationships with suppliers and payment practices","433 
441"
"G1-3 
Prevention and detection of corruption and bribery 
G1-4 
Incidents of corruption or bribery","Corruption and bribery 
Corruption and bribery","433 
433"
"G1-5 
Political influence and lobbying activities 
G1-6 
Payment practices","Lobbying activities 
Management of relationships with suppliers and payment practices","437 
443"
