0,1,2,3,4,5,6,7,8,9
"COMBINED MANAGEMENT REPORT  |  SUSTAINABILITY REPORT
Annex to the combined management report",,,,,,EVONIK  FINANCIAL AND SUSTAINABILITY REPORT  2024,,,
ESRS 2 Appendix B,,,,,,,,,
ESRS Index: Disclosure requirements under other EU legislation,,,,,,,,,T71
ESRS,Disclosure,"Other source a, b, c, d",Material a,Page number,ESRS,Disclosure,"Other source a, b, c, d",Material a,Page number
ESRS 2 GOV-1,Board’s gender diversity,"a, c",x,121 f.,ESRS E1-9,"Breakdown of the carrying value of its real estate  
assets by energy-efficiency classes",b,,
ESRS 2 GOV-1,Percentage of board members who are independent,c,x,121,ESRS E1-9,Degree of exposure of the portfolio,,,
ESRS 2 GOV-4,Statement on due diligence,a,x,125,,to climate-related opportunities,c,,
ESRS 2 SBM-1,Involvement in activities related to fossil fuel activities,"a, b, c",,98,ESRS E2-4,Amount of each pollutant listed in Annex II of the,,,
ESRS 2 SBM-1,Involvement in activities related to chemical production,"a, c",x,,,"E-PRTR Regulation (European Pollutant Release  
and Transfer Register) emitted to air, water and soil",a,x,184 f.
ESRS 2 SBM-1,"Involvement in activities related to controversial 
weapons","a, c",,,ESRS E3-1,Water and marine resources,a,x,143
ESRS 2 SBM-1,"Involvement in activities related to cultivation  
and production of tobacco",c,,,ESRS E3-1,Dedicated policy,a,x,143
ESRS E1-1,Transition plan to reach climate neutrality by 2050,d,x,129 f.,ESRS E3-1,Sustainable oceans and seas,a,,
ESRS E1-1,Undertakings excluded from Paris-aligned,,,,ESRS E3-4,Total water recycled and reused,a,x,146
,benchmarks,"b, c",,,ESRS E3-4,"Total water consumption in m3 per net revenue  
on own operations",a,x,146
ESRS E1-4,GHG emission reduction targets,"a, b, c",x,"129 f., 136",ESRS 2,,,,
ESRS E1-5,"Energy consumption from fossil sources disaggregated 
by sources (only high climate impact sectors)",a,x,,SBM-3-E4,Biodiversity and ecosystems,a,x,"148, 150"
ESRS E1-5,Energy consumption and mix,a,x,142,ESRS E4-2,Sustainable land/agriculture practices or policies,a,x,147
ESRS E1-5,Energy intensity associated with activities in,,,,ESRS E4-2,Sustainable oceans/seas practices or policies,a,,
,high climate impact sectors,a,x,142,ESRS E4-2,Policies to address deforestation,a,,
ESRS E1-6,"Gross Scope 1, 2, 3 and Total GHG emissions","a, b, c",x,135,ESRS E5-5,Non-recycled waste,a,x,158
ESRS E1-6,Gross GHG emissions intensity,"a, b, c",x,135,ESRS E5-5,Hazardous waste and radioactive waste,a,x,158
ESRS E1-7,GHG removals and carbon credits,d,x,134,"ESRS 2  
SBM3-S1",Risk of incidents of forced labour,a,x,"188, 192 f., 
200 f."
ESRS E1-9,"Exposure of the benchmark portfolio  
to climate-related physical risks",c,,,ESRS 2,,,,
ESRS E1-9,Disaggregation of monetary amounts by acute,,,,SBM3-S1,Risk of incidents of child labour,a,x,"188, 192 f."
,and chronic physical risk,b,,,ESRS S1-1,Human rights policy commitments,a,x,188
ESRS E1-9,Location of significant assets at material physical risk,b,,,ESRS S1-1,Due diligence policies on issues addressed by,,,
,,,,,,"the fundamental International Labour Organization 
Conventions 1 to 8",c,x,188
,,,,,"a  SFDR reference.
b  Pillar 3 reference.",,,,
,,,,,"c  Benchmark Regulation reference.
d  EU Climate Law reference.",,,,
