0,1,2
B.80,,
ESRS E5 - Resource use and circular economy,,
,,Page
E5-1,Policies related to resource use and circular economy,99 - 100
E5-2,Actions and resources related to resource use and circular economy,101 - 103
E5-3,Targets related to resource use and circular economy,100
E5-4,Resource inflows,103 - 104
E5-5,Resource outflows,104 - 105
E5-6,Anticipated financial effects from material resource use and circular economy-related risks and opportunities,Phase-in
B.81,,
ESRS S1 - Own workforce,,
,,Page
"ESRS 2, SBM-2",Interests and views of stakeholders,115
"ESRS 2, SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",115 - 116
S1-1,Policies related to own workforce,117; 125 - 131
S1-2,Processes for engaging with own workers and workers’ representatives about impacts,116 - 117; 119
S1-3,Processes to remediate negative impacts and channels for own workers to raise concerns,117
S1-4,"Taking action on material impacts on own workforce, and approaches to mitigating material risks and pursuing material opportunities related to own workforce, and effectiveness of those actions",118 - 120; 121 - 122
S1-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",120
S1-6,Characteristics of the undertaking’s employees,123
S1-7,Characteristics of non-employee workers in the undertaking’s own workforce,Phase-in
S1-8,Collective bargaining coverage and social dialog,117; 124
S1-9,Diversity metrics,120 - 121
S1-10,Adequate wages,124
S1-11,Social protection,Phase-in
S1-12,Persons with disabilities,Phase-in
S1-13,Training and skills development metrics,Phase-in
S1-14,Health and safety metrics,122
S1-15,Work-life balance metrics,Phase-in
S1-16,Compensation metrics (pay gap and total compensation),125
S1-17,"Incidents, complaints and severe human rights impacts",117
