0,1,2
Disclosure Requirement,Section/Subsection,Page
ESRS S3 – Affected communities,,
S3.SBM-2 – Interests and views of stakeholders,Interests and views of stakeholders relating to affected communities,103
"S3.SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business 
model",Further information on the IRO assessment in relation to affected communities,196
S3-1 – Policies related to affected communities,Management approach to affected communities,197
S3-2 – Process for engaging with affected communities about impacts,Processes for engaging with affected communities about impacts,197
S3-3 – Processes to remediate negative impacts and channels for affected communities to raise concerns,Processes to remediate negative impacts and channels for affected communities to raise concerns,197-198
"S3-4 – Taking action on material impacts on affected communities, and approaches to managing material 
risks and pursuing material opportunities related to affected communities, and effectiveness of those actions",Key actions for target achievement,198
"S3-5 – Targets related to managing material negative impacts, advancing positive impacts, and managing 
material risks and opportunities",Targets related to affected communities,198
ESRS S4 – Consumers and end-users,,
S4.SBM-2 – Interests and views of stakeholders,Interests and views of stakeholders relating to consumers and end-users,103
"S4.SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business 
model",Further information on the IRO assessment in relation to consumers and end-users,200
S4-1 – Policies related to consumers and end-users,Management approaches to consumers and end-users,201-203
S4-2 – Processes for engaging with consumers and end-users about impacts,Processes for engaging with consumers and end-users about impacts,203
"S4-3 – Processes to remediate negative impacts and channels for consumers and end-users to raise 
concerns",Processes to remediate negative impacts and channels for consumers and end-users to raise concerns,203
"S4-4 – Taking action on material impacts on consumers and end-users, and approaches to managing 
material risks and pursuing material opportunities related to consumers and end-users, and effectiveness",Key actions for target achievement,204
of those actions,,
"S4-5 – Targets related to managing material negative impacts, advancing positive impacts, and managing 
material risks and opportunities",Targets related to consumers and end-users,204
ESRS G1 –  Business conduct,,
"G1.GOV-1 – The role of the administrative, supervisory and management bodies","Business conduct, corporate governance and corporate culture",206
"G1.IRO-1 – Description of the processes to identify and assess material impacts, risks and opportunities",Specifics of the IRO assessment in relation to business conduct and corporate governance,109
G1-1 – Corporate culture and business conduct policies,"Business conduct, corporate governance and corporate culture",206-208
G1-3 – Prevention and detection of corruption and bribery,Prevention and detection of corruption and bribery,208
G1-4 – Confirmed incidents of corruption or bribery,Metrics for business conduct and corporate governance,210
