0,1,2
,,Disclosure requirements in ESRS
Disclosure requirement,Section,Page
E2 Pollution,,
"ESRS 2 IRO-1 – Description of the processes to identify 
and assess material pollution-related impacts, risks and","Materiality assessment process on impacts, risks and",361
opportunities,opportunities related to pollution,
"MDR-P – Policies adopted to manage material 
sustainability matters",Policies related to pollution,362
E2-1 – Policies related to pollution,,
"MDR-A – Actions and resources in relation to material 
sustainability matters",Actions related to pollution,363
E2-2 – Actions and resources related to pollution,,
"MDR-T – Tracking effectiveness of policies and actions 
through targets",Objectives related to pollution,363
E3 Water and marine resources,,
"ESRS 2 IRO-1 – Description of the processes to identify 
and assess material water and marine resources-related","Materiality assessment process on impacts, risks and",364
"impacts, risks and opportunities",opportunities related to water and marine resources,
E4 Biodiversity and ecosystems,,
"ESRS 2 IRO-1 – Description of processes to identify and 
assess material biodiversity and ecosystem-related","Materiality assessment process on impacts, risks and",366
"impacts, risks and opportunities",opportunities related to biodiversity and ecosystems,
E5 Resource use and circular economy,,
"ESRS 2 IRO-1 – Description of the processes to identify 
and assess material resource use and circular economy-","Materiality assessment process on impacts, risks and 
opportunities related to resource use and circular",368
"related impacts, risks and opportunities",economy,
"MDR-P – Policies adopted to manage material 
sustainability matters",,
E5-1 – Policies related to resource use and circular,Policies related to resource use and circular economy,369
economy,,
"MDR-A – Actions and resources in relation to material 
sustainability matters",,
E5-2 – Actions and resources in relation to resource use,Actions related to resource use and circular economy,371
and circular economy,,
"MDR-T – Tracking effectiveness of policies and actions 
through targets",Objectives related to resource use and circular economy,371
Social information,,
S1 Own workforce,,
ESRS 2 SBM-2 – Interests and views of stakeholders,"Strategy, business model and value chain – Strategy",317
"ESRS 2 SBM-3 – Material impacts, risks and 
opportunities and their interaction with strategy and","Materiality process on impacts, risks and opportunities",372
business model,and their interaction with strategy and business model,
,"VUB Group’s Commitment to Human Rights 
Policies related to employment protection and labour","374 
376"
,"relations 
Policies related to compensation","3
76"
"MDR-P – Policies adopted to manage material 
sustainability matters","Policies related to DE&I 
Policies related to equal pay","378 
380"
S1-1 – Policies related to own workforce,"Policies related to training and development 
Policies related to health and safety","384 
388"
,"Policies related to work-life balance 
Policies related to working time","390 
391"
,Policies related to privacy of VUB Group’s people,395
