0,1,2,3,4,5,6
List of material disclosure requirements,,Page,List of material disclosure requirements,,Page,
S1-5,"Targets related to managing material impacts, risks and opportunities","84, 85, 88",S4 – Consumers & End-Users,,,
S1-6,Characteristics of the undertaking’s employees,83,ESRS 2 SBM-2,Interests and views of stakeholders,"45, 46, 47",
S1-7,Characteristics of non-employee workers in the undertaking’s own workforce Phase-in,,,"Material impacts, risks and opportunities and their interaction with strategy",,
S1-8,Collective bargaining coverage and social dialogue,Not material,ESRS 2 SBM-3,and business model,"57, 95, 97, 98",
S1-9,Diversity metrics,86,S4-1,Policies related to consumers and end-users,"95, 97, 98",
S1-10,Adequate wages,Not material,S4-2,Processes for engaging with consumers and end-users about impacts,"96, 97, 98",
S1-11,Social protection,Phase-in,,"Processes to remediate negative impacts and channels for consumers and 
end-users to raise concerns","97, 99",
S1-12–,Persons with disabilities,Not material,S4-3,,,
S1-13,Training and skills development metrics,Phase-in,S4-4,"Actions on material impacts, risks and opportunities","96, 98, 99",
S1-14,Health and safety metrics,88,S4-5,"Targets related to managing material impacts, risks and opportunities","97, 98, 99",
S1-15,Work-life balance metrics,Phase-in,G1 – Business Conduct,,,
S1-16,Compensation metrics (pay gap and total compensation),86,ESRS 2 GOV-1,"The role of the administrative, supervisory and management bodies","43, 102",
S1-17,"Incidents, complaints and severe human rights impacts",88,,"Description of the processes to identify and assess material impacts, risks",,
S2 – Workers in the Value Chain,,,ESRS 2 IRO-1,and opportunities,"49, 50, 52",
ESRS 2 SBM-2,Interests and views of stakeholders,"45, 46, 47",G1-1,Corporate culture and Business conduct policies and corporate culture,"101, 102",
,"Material impacts, risks and opportunities and their interaction with strategy",,G1-2,Management of relationships with suppliers,Not material,
ESRS 2 SBM-3,and business model,"56, 91, 92",G1-3,Prevention and detection of corruption and bribery,"101, 102",
S2-1,Policies related to value chain workers,"90, 91",G1-4,Confirmed incidents of corruption or bribery,102,
S2-2,Processes for engaging with value chain workers about impacts,"91, 92",G1-5,Political influence and lobbying activities,Not material,
,Processes to remediate negative impacts and channels for value chain,,G1-6,Payment practices,Not material,
S2-3,workers to raise concerns,"91, 92",,,,
S2-4,"Actions on material impacts, risks and opportunities","91, 92, 93",,,,
S2-5,"Targets related to managing material impacts, risks and opportunities","92, 93",,,,
Bavarian Nordic,Annual Report 2024,,,,,105.0
