0,1,2
B.82,,
ESRS S2 - Workers in the value chain,,
,,Page
"ESRS 2, SBM-2",Interests and views of stakeholders,132; 135
"ESRS 2, SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",132
S2-1,Policies related to value chain workers,134
S2-2,Processes for engaging with value chain workers about impacts,132 - 133
S2-3,Processes to remediate negative impacts and channels for value chain workers to raise concerns,133
S2-4,"Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions",135 - 137
S2-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",135
B.83,,
ESRS S4 - Consumers and end-users,,
,,Page
"ESRS 2, SBM-2",Interests and views of stakeholders,139
"ESRS 2, SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",138
S4-1,Policies related to consumers and end-users,141
S4-2,Processes for engaging with consumers and end-users about impacts,140 - 141
S4-3,Processes to remediate negative impacts and channels for consumers and end-users to raise concerns,140 - 141
S4-4,"Taking action on material impacts on consumers and end-users and approaches to managing material risks and pursuing material opportunities related to consumers and end-users, and effectiveness of those actions",141 - 143
S4-5,"Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities",139
