0,1,2,3,4,5
ESRS cross-reference table,,,,,
CSRD Topic1,CSRD Disclosure requirement,Other EU legislation2,Reference,Pages3,Assurance level
ESRS 2,Disclosure Requirement BP-1 – General basis for preparation of sustainability,,Sustainability statement: General basis for preparation,169,Limited Assurance
General disclosures,Disclosure Requirement BP-2 – Disclosures in relation to specific circumstances,,Sustainability statement: General basis for preparation,169,Limited Assurance
,"Disclosure Requirement GOV-1 – The role of the administrative, management and 
supervisory bodies",SFDR/BRR,"Environmental, Social and Governance: ESG governance
Supervisory Board report: composition, diversity and self-evaluation","40
64",Limited Assurance
,,,Other Board-related matters: Diversity,268,
,"Disclosure Requirement GOV-2 – Information provided to and sustainability matters 
addressed by the undertaking’s administrative, management and supervisory bodies",,"Environmental, Social and Governance: ESG governance",40,Limited Assurance
,"Disclosure Requirement GOV-3 - Integration of sustainability-related performance in incentive 
schemes",,"Remuneration Report: Non-financial Annual Incentive
Remuneration Report: Long-term Sustainability objectives","76
80",Limited Assurance
,Disclosure Requirement GOV-4 - Statement on due diligence,SFDR,"ESG governance, strategy and policies: Governance",170,Limited Assurance
,"Disclosure Requirement GOV-5 - Risk management and internal controls over sustainability 
reporting",,"Environmental, Social and Governance: ESG governance
Governance: Financial reporting and sustainability reporting","40
58",Limited Assurance
,"Disclosure Requirement SBM-1 – Strategy, business model and value chain",SFDR/P3/BRR,"Governance: Working with stakeholders and advocacy
ESG governance, strategy and policies: Strategy","54
170",Limited Assurance
,Disclosure Requirement SBM-2 – Interests and views of stakeholders,,"Governance: Working with stakeholders and advocacy
ESG governance, strategy and policies: Strategy","54
170",Limited Assurance
,"Disclosure Requirement SBM-3 - Material impacts, risks and opportunities and their 
interaction with strategy and business model",,"Governance: Working with stakeholders and advocacy
ESG governance, strategy and policies: Strategy","54
170","Reasonable 
Assurance"
,,,Sustainability statement: IRO Table,174,
,"Disclosure Requirement IRO-1 - Description of the processes to identify and assess material 
impacts, risks and opportunities",,Sustainability statement: Double Materiality Assessment,171,"Reasonable 
Assurance"
,"Disclosure Requirement IRO-2 – Disclosure requirements in ESRS covered by the 
undertaking’s sustainability statement",,Sustainability statement: Double Materiality Assessment,171,Limited Assurance
,Minimum disclosure requirement - Policies MDR-P – Policies adopted to manage material,,"ESG governance, strategy and policies: Policies",171,4
,sustainability matters,,Double Materiality Assessment: Policy Overview,180,
,"Minimum disclosure requirement - Actions MDR-A – Actions and resources in relation to 
material sustainability matters",,"ESG governance, strategy and policies: Actions",171,⁴
,"Minimum disclosure requirement – Metrics MDR-M – Metrics in relation to material 
sustainability matters",,"Sustainability statement: Tracking our 2025 ESG program
Sustainability statement: Double Materiality Assessment","166
171",⁴
,"Minimum disclosure requirement – Targets MDR-T – Tracking effectiveness of policies and 
actions through targets",,"Sustainability statement: Tracking our 2025 ESG program
Sustainability statement: Double Materiality Assessment","166
171",⁴
