0,1,2,3,4,5
,,,,"Reference to 
sustainability",Reference to other chapters in 2024 Annual Report and/or
Section,ESRS Standard,Disclosure Requirement,,statements,use of phased-in provisions
General disclosures,General disclosures (ESRS 2),BP-1,General basis for preparation,Page 93,
,,BP-2,Disclosures in relation to specific circumstances,Page 93,
,,GOV-1,Role of the Executive Board and Supervisory Board,Page 95,"Executive Board on page 61 and Supervisory Board on 
page 62, in Governance."
,,,,,"Culture in Corporate governance on page 46.
Talent management in Report of the Supervisory Board on"
,,,,,page 66.
,,GOV-2,"Information provided to and sustainability matters addressed by the 
Executive Board and Supervisory Board",Page 96,"Environmental, social, and governance matters on page 47.
Sustainability in Report of the Supervisory Board on"
,,,,,page 66.
,,GOV-3,Integration of sustainability-related performance in incentive schemes,Page 96,"Remuneration targets linked to strategic goals on page 74, 
Short-term incentive plan 2024 on page 78, and Payouts for"
,,,,,"performance against 2024 STIP targets on page 79, in the 
Remuneration report."
,,GOV-4,Statement on due diligence,Page 97,
,,GOV-5,Risk management and internal controls over sustainability reporting,Page 97,
,,SBM-1,"Strategy, business model, and value chain",Page 98,"Strategy and business model on page 6 and Executive team 
on page 14, of the Strategic report."
,,,,,"Macroeconomic conditions, Competition, and Changes in 
technology, business models, and customer preferences in"
,,,,,Risk Management on page 51.
,,,,,"Phased-in used for SBM-1, paragraphs 40 (b) and (c)."
,,SBM-2,Interests and views of stakeholders,Page 99,
