0,1,2,3,4,5,6
Disclosure requirement,SFDR,,Benchmark regulation,"EU Climate 
Law",Applicable for,"Relevant 
page"
and related datapoint,reference,Pillar 3 reference,reference,reference,the Group,number
"ESRS S4-1 
Policies related to","Indicator 
number 9",n/a,n/a,n/a,Yes,125
"consumers and end-users 
paragraph 16","Table #3 
and",,,,,
,"Indicator 
number 11",,,,,
,"Table #1 of 
Annex 1",,,,,
"ESRS S4-1
Non-respect of UNGPs on","Indicator 
number 10",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II",n/a,Yes,125
"Business and Human 
Rights and OECD","Table #1 of 
Annex 1",,"Delegated Regulation 
(EU) 2020/1818, Art 12 (1)",,,
guidelines paragraph 17,,,,,,
"ESRS S4-4
Human rights issues and","Indicator 
number 14",n/a,n/a,n/a,Yes,"117, 118"
incidents paragraph 35,"Table #3 of 
Annex 1",,,,,
"ESRS G1-1
United Nations","Indicator 
number 15",n/a,n/a,n/a,"n/a - there is a 
policy",n/a
"Convention against 
Corruption paragraph 10","Table #3 of 
Annex 1",,,,,
(b),,,,,,
"ESRS G1-1
Protection of whistle-","Indicator 
number 6",n/a,n/a,n/a,"n/a - there is a 
policy",n/a
blowers paragraph 10 (d),"Table #3 of 
Annex 1",,,,,
"ESRS G1-4
Fines for violation of anti-","Indicator 
number 17",n/a,"Delegated Regulation 
(EU) 2020/1816, Annex II)",n/a,Yes,131
"corruption and anti-
bribery laws paragraph","Table #3 of 
Annex 1",,,,,
24 (a),,,,,,
"ESRS G1-4
Standards of anti-","Indicator 
number 16",n/a,n/a,n/a,Yes,131
"corruption and anti- 
bribery paragraph 24 (b)","Table #3 of 
Annex 1",,,,,
