0,1,2,3,4,5,6
,,,Benchmark,EU Climate,Materiality for,Page
Disclosure Requirement and related datapoint,SFDR,Pillar 3,Regulation,Law,Sartorius,number
ESRS S1 -3: Grievance/complaints handling,X,,,,material,
"mechanisms, paragraph 32 (c)",,,,,,181
ESRS S1 -14: Number of fatalities and number and,X,,X,,material,
"rate of work-related accidents, paragraph 88 (b)",,,,,,
and (c),,,,,,196f.
"ESRS S1 -14: Number of days lost to injuries,",X,,,,material,
"accidents, fatalities or illness, paragraph 88 (e)",,,,,,196f.
"ESRS S1 -16: Unadjusted gender pay gap,",X,,X,,material,
paragraph 97 (a),,,,,,199f.
"ESRS S1 -16: Excessive CEO pay ratio, paragraph",X,,,,material,
97 (b),,,,,,199f.
"ESRS S1 -17: Incidents of discrimination,",X,,,,material,
paragraph 103 (a),,,,,,200f.
ESRS S1 -17: Non-respect of UNGPs on Business,X,,X,,material,
"and Human Rights and OECD guidelines,",,,,,,
paragraph 104 (a),,,,,,200f.
ESRS 2 SBM-3 – S2: Significant risk of child labor,X,,,,material,
"or forced labor in the value chain, paragraph 11",,,,,,
(b),,,,,,124f.
"ESRS S2 -1: Human rights policy commitments,",X,,,,material,
paragraph 17,,,,,,202
ESRS S2 -1: Policies related to value chain,X,,,,material,
"workers, paragraph 18",,,,,,202
ESRS S2 -1: Non-respect of UNGPs on Business,X,,X,,material,
"and Human Rights and OECD guidelines,",,,,,,
paragraph 19,,,,,,202
ESRS S2-1: Due diligence policies on issues,,,X,,material,
addressed by the fundamental,,,,,,
International Labor Organisation Conventions 1,,,,,,
"to 8, paragraph 19",,,,,,202
ESRS S2 -4: Human rights issues and incidents,X,,,,material,
connected to its upstream and downstream,,,,,,
"value chain, paragraph 36",,,,,,203
"ESRS S3 -1: Human rights policy commitments,",X,,,,immaterial,
paragraph 16,,,,,,
ESRS S3 -1: Non-respect of UNGPs on Business,X,,X,,immaterial,
"and Human Rights, ILO principles or OECD",,,,,,
"guidelines, paragraph 17",,,,,,
"ESRS S3 -4: Human rights issues and incidents,",X,,,,immaterial,
paragraph 36,,,,,,
ESRS S4 -1: Policies related to consumers and,X,,,,immaterial,
"end-users, paragraph 16",,,,,,
ESRS S4 -1: Non-respect of UNGPs on Business,X,,X,,immaterial,
"and Human Rights and OECD guidelines,",,,,,,
paragraph 17,,,,,,
"ESRS S4 -4: Human rights issues and incidents,",X,,,,immaterial,
paragraph 35,,,,,,
ESRS G1 -1: United Nations Convention against,X,,,,immaterial,
"Corruption, paragraph 10 (b)",,,,,,
"ESRS G1 -1: Protection of whistleblowers,",X,,,,immaterial,
paragraph 10 (d),,,,,,
ESRS G1 -4: Fines for violation of anti-corruption,X,,X,,immaterial,
"and anti-bribery laws, paragraph 24 (a)",,,,,,
ESRS G1 -4: Standards of anti-corruption and,X,,,,immaterial,
"anti-bribery, paragraph 24 (b)",,,,,,
