0,1,2,3,4,5
"CEO  
Report of the",Financial,"Board of Directors’ Proposal  
Auditor’s",,,
"Review
Board of Directors",Statements,"on a return of capital
Report",,,
,Disclosure Requirement,,Section,Page,Additional
Business model and,,,,number,information
operating environment,S2-4,"Taking action on material impacts on value chain workers, and approaches to managing mate-rial risks and pursuing",S2; S2-4,129,
,,"material opportunities related to value chain workers, and effectiveness of those action",,,
Financial performance in 2024,,"Targets related to managing material negative impacts, advancing positive impacts, and man-aging material risks and",S2; S2-5,130,
,S2-5,opportunities,,,
Financial position and,,,,,
capital expenditure,ESRS S3 Affected communities,,,,
Shareholder return policy,"ESRS 2, SBM-2",Interests and views of stakeholders,ESRS 2; SBM-2,53,
and the Board’s proposal for,"ESRS 2, SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",S3; SBM-3,"55, 131",
the distribution of profit,S3-1,Policies related to affected communities,S3; S3-1,133,
Fleet,S3-2,Processes for engaging with affected communities about impacts,S3; S3-2,134,
,S3-3,Processes to remediate negative impacts and channels for affected communities to raise concerns,S3; S3-3,134,
Strategy implementation,,,,,
,S3-4,"Taking action on material impacts on affected communities, and approaches to managing material risks and pursuing",S3; S3-4,134,
Changes in company management,,"material opportunities related to affected communities, and effectiveness of those actions",,,
Shares and shareholders,S3-5,"Targets related to managing material negative impacts, advancing positive impacts, and man-aging material risks and",S3; S3-5,136,
,,opportunities,,,
Risk management,ESRS S4 Consumers and end-users,,,,
Significant risks and uncertainties,"ESRS 2, SBM-2",Interests and views of stakeholders,ESRS 2; SBM-2,53,
Seasonal variation and sensitivities,"ESRS 2, SBM-3","Material impacts, risks and opportunities and their interaction with strategy and business model",S4; SBM-3,"55, 137",
in business operations,S4-1,Policies related to consumers and end-users,S4; S4-1,140,
,S4-2,Processes for engaging with consumers and end-users about impacts,S4; S4-2,142,
Outlook,,,,,
,S4-3,Processes to remediate negative impacts and channels for consumers and end-users to raise concerns,S4; S4-3,142,
Performance indicators classified as,,"Taking action on material impacts on consumers and end-users, and approaches to managing material risks and",S4; S4-4,143,
alternative performance measures,S4-4,"pursuing material opportunities related to consumers and end-users, and effectiveness of those actions",,,
Reconciliation of performance indicators,S4-5,"Targets related to managing material negative impacts, advancing positive impacts, and man-aging material risks and",S4; S4-5,145,
classified as alternative performance,,opportunities,,,
measures,Governance information,,,,
Other performance indicators,ESRS G1 Business conduct,,,,
,"ESRS 2, GOV-1","The role of the administrative, supervisory and management bodies",ESRS 2; GOV-1,45,
•  Sustainability Report,"ESRS 2, IRO-1","Description of the processes to identify and assess material impacts, risks and opportunities",ESRS 2; IRO-1,58,
General information,G1-1,Corporate culture and business conduct policies and corporate culture,G1; G1-1,147,
Environmental information,G1-2,Management of relationships with suppliers,G1; G1-2,150,
,G1-3,Prevention and detection of corruption and bribery,G1; G1-3,151,
Social information,G1-4,Confirmed incidents of corruption or bribery,G1; G1-4,151,
Governance information,G1-5,Political influence and lobbying activities,Determined non-material,,
,G1-6,Payment practices,G1; G1-6,151,
