0,1,2,3,4,5
,,,,"Reference to 
sustainability",Reference to other chapters in 2024 Annual Report and/or
Section,ESRS Standard,Disclosure Requirement,,statements,use of phased-in provisions
,,,Other own workforce company-specific metrics,Page 131,
,"Workers in the value chain  
(ESRS S2)",SBM-3,Material impacts and their interaction with strategy and business model,Page 132,
,,S2-1,Policies related to value chain workers,Page 132,
,,S2-2,Processes for engaging with value chain workers about impacts,Page 133,
,,S2-3,"Processes to remediate negative impacts and channels for value chain workers 
to raise concerns",Page 133,
,,S2-4,Actions related to value chain workers,Page 133,
,,S2-5,Targets related to value chain workers,Page 133,
,"Consumers and end-users 
(ESRS S4)",SBM-3,Material impacts and their interaction with strategy and business model,Page 134,
,,S4-1,Policies related to consumers and end users,Page 134,
,,S4-2,Processes for engaging with consumers and end-users about impacts,Page 135,
,,S4-4,Actions related to end-users,Page 135,
,,S4-5,Targets related to end-users,Page 135,
Governance disclosures,Business conduct (ESRS G1),G1-1,Business conduct policies and corporate culture,Page 136,
,,,Data privacy (company specific),Page 137,
,,,Corporate culture and data privacy company-specific metrics,Page 138,
,,,Targets related to corporate culture and data privacy,Page 138,"Short-term incentive plan 2025 in Remuneration report on 
page 83."
