0,1
,"CORTICEIRA AMORIM, S.G.P.S., S.A."
Disclosure requirement (DR),Section
S1,
S1-1,8.2.1 Policies related to own workforce
S1-2,8.2.2 Processes for engaging with own workforce and workers’ representatives about impacts
S1-3,8.2.3 Processes to remediate negative impacts and channels for own workforce to raise concerns
S1-4,"8.2.4 Taking action on material impacts on own workforce, and approaches to managing material risks and pursuing material opportunities related to own 
workforce, and effectiveness of those actions"
S1-5,"8.3.1 Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities"
S1-6,8.3.2 Characteristics of the undertaking’s employees
S1-7,8.3.3 Characteristics of non-employees in the undertaking’s own workforce
S1-8,8.3.4 Collective bargaining coverage and social dialogue
S1-9,8.3.5 Diversity metrics
S1-10,8.3.6 Adequate wages
S1-11,8.3.7 Social protection
S1-12,8.3.8 Persons with disabilities
S1-13,8.3.9 Training and skills development metrics
S1-14,8.3.10 Health and safety metrics
S1-15,8.3.11 Work-life balance metrics
S1-16,8.3.12 Remuneration metrics (pay gap and total remuneration)
S2,
S2-1,9.2.1 Policies related to value chain workers
S2-2,9.2.2 Processes for engaging with value chain workers about impacts
S2-3,9.2.3 Processes to remediate negative impacts and channels for value chain workers to raise concerns
S2-4,"9.2.4 Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value 
chain workers, and effectiveness of those actions"
S2-5,"9.3.1 Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities"
S3,
S3-1,10.2.1 Policies related to affected communities
S3-2,10.2.2 Processes for engaging with affected communities about impacts
S3-3,10.2.3 Processes to remediate negative impacts and channels for affected communities to raise concerns
S3-4,"10.2.4 Taking action on material impacts on affected communities, and approaches to managing material risks and pursuing material opportunities related to 
affected communities, and effectiveness of those actions"
S3-5,"10.3.1 Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities"
S4,
S4-1,11.2.1 Policies related to consumers and end-users
S4-2,11.2.2 Processes for engaging with consumers and end-users about impacts
S4-3,11.2.3 Processes to remediate negative impacts and channels for consumers and end-users to raise concerns
S4-4,"11.2.4 Taking action on material impacts on consumers and end- users, and approaches to managing material risks and pursuing material opportunities related 
to consumers and end-users, and effectiveness of those actions"
S4-5,"11.3.1 Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities"
G1,
G1-1,12.2.1 Business conduct policies and corporate culture
G1-2,12.2.2 Management of relationships with suppliers
G1-3,12.2.3 Prevention and detection of corruption and bribery
G1-4,12.3.1 Incidents of corruption or bribery
G1-6,12.3.2 Payment practices
