0,1,2,3,4,5,6,7
72,Coca-Cola HBC Integrated Annual Report 2024,,"Strategic Report
Corporate Governance",Financial Statements,,Swiss Statutory Reporting,Supplementary Information
Sustainability Statement continued,,,,,,,
Disclosure Requirement,,,Benchmark Regulation,"EU
Climate Law",,"Location in the 
sustainability","Materiality of  
information"
and related datapoint,SFDR ( 23 ) reference,Pillar 3 ( 24 ) reference,( 25 ) reference,( 26 ) reference,,statement,(Group level)
ESRS 2- SBM3 – S1,"Indicator number 12 Table 
#3 of Annex I",,,,–,,Not Material
"Risk of incidents of child  
labour paragraph 14 (g)",,,,,,,
ESRS S1-1,"Indicator number 9 Table #3 
and Indicator number 11",,,,,p.134,Material for Group
"Human rights policy  
commitments paragraph 20",Table #1 of Annex I,,,,,,Level
ESRS S1-1,,,"Delegated Regulation (EU) 
2020/1816, Annex II",,,p.134,Material for Group
"Due diligence policies on issues 
addressed by the fundamental",,,,,,,Level
"International Labour Organization 
Conventions 1 to 8, paragraph 21",,,,,,,
ESRS S1-1,"Indicator number 11 Table 
#3 of Annex I",,,,–,,Not Material
"processes and measures for 
preventing trafficking in human",,,,,,,
beings paragraph 22,,,,,,,
ESRS S1-1,"Indicator number 1 Table #3 
of Annex I",,,,,p.131,Material for Group
"workplace accident prevention policy 
or management system paragraph 23",,,,,,,Level
ESRS S1-3,"Indicator number 5 Table #3 
of Annex I",,,,,p.136,Material for Group
"grievance/complaints handling 
mechanisms paragraph 32 (c)",,,,,,,Level
ESRS S1-14,"Indicator number 2 Table #3 
of Annex I",,"Delegated Regulation (EU) 
2020/1816, Annex II",,,p.145,Material for Group
"Number of fatalities and number  
and rate of work-related accidents",,,,,,,Level
paragraph 88 (b) and (c),,,,,,,
ESRS S1-14,"Indicator number 3 Table #3 
of Annex I",,,,,p.145,Material for Group
"Number of days lost to injuries, 
accidents, fatalities or illness",,,,,,,Level
paragraph 88 (e),,,,,,,
ESRS S1-16,"Indicator number 12 Table 
#1 of Annex I",,"Delegated Regulation (EU) 
2020/1816, Annex II",,,p.145,Material for Group
"Unadjusted gender pay gap  
paragraph 97 (a)",,,,,,,Level
ESRS S1-16,"Indicator number 8 Table #3 
of Annex I",,,,,p.145,Material for Group
"Excessive CEO pay ratio  
paragraph 97 (b)",,,,,,,Level
