0,1,2,3,4
ESRS E1-9,69,"Degree of exposure of 
the portfolio to climate-",,"Phase-in 
 
×"
ESRS E2-4,28,"related opportunities 
Amount of each pollutant",,C.2.2.5
,,"listed in Annex II of the 
E-PRTR Regulation",,"Metrics and 
targets"
,,"(European Pollutant 
Release and Transfer",×,
,,"Register) emitted to air, 
water and soil",,
ESRS E3-1,9,"Water and marine 
resources",,"C.2.3.3 
 
Policies"
,,,×,"related to 
 
water and"
,,,,"marine 
resources"
"ESRS E3-1 
ESRS E3-1","13 
14","Dedicated policy 
Sustainable oceans and",×,"Not relevant 
 
 
Not relevant"
,,seas,×,
ESRS E3-4,28-c,"Total water recycled and 
reused",×,"C.2.3.5 
 
 
Metrics and"
ESRS E3-4,29,Total water consumption,,"targets 
 
C.2.3.5"
,,"in m3 per net revenue on 
own operations",×,"Metrics and 
targets"
"ESRS 2 IRO-
1 – E4","16-
a-i",,,"C.2.4.2 
 
Management"
,,,,"of the IROS 
related to"
,,,×,"biodiversity 
and"
,,,,"ecosystems 
and their"
,,,,"interaction with 
the strategy"
ESRS 2 IRO-,16-,,,"(E4-1) 
 
Not relevant"
1 – E4,b,,×,
"ESRS 2 IRO-
1 – E4",16-c,,×,Not relevant
ESRS E4-2,"24-
b","Sustainable land / 
agriculture practices or",,"C.2.4.3 
 
Policies"
,,policies,×,"related to 
 
biodiversity"
,,,,"and 
ecosystems"
ESRS E4-2,24-c,"Sustainable oceans / 
seas practices or policies",×,Not relevant
ESRS E4-2,"24-
d","Policies to address 
deforestation",,"C.2.4.3 
 
Policies"
,,,×,"related to 
 
biodiversity"
,,,,"and 
ecosystems"
ESRS E5-5,"37-
d",Non-recycled waste,×,"C.2.5.5 
 
 
Metrics and"
ESRS E5-5,39,Hazardous waste and,,"targets 
 
C.2.5.5"
,,radioactive waste,×,"Metrics and 
targets"
