0,1,2,3,4
E4-2,"Sustainable land / agriculture practices or 
policies paragraph 24 (b)",239,,X
E4-2,"Sustainable oceans / seas practices or 
policies paragraph 24 (c)",239,,X
E4-3,"Actions and resources related to biodiversity 
and ecosystems",249-253,,
E4-4,"Targets related to biodiversity and 
ecosystems",253-254,,
E4-5,"Impact metrics related to biodiversity and 
ecosystems change",253-254,,
E5-1,"Policies related to resource use and circular 
economy",257,,
E5-2,"Actions and resources related to resource use 
and circular economy",257-258,,
E5-3,"Targets related to resource use and circular 
economy",258-259,,
E5-4,Resource inflows,259-261,,
E5-5,Resource outflows,261-262,,
E5-5,Non-recycled waste paragraph 37 (d),262,,X
E5-5,"Hazardous waste and radioactive waste 
paragraph 39",262,,X
2- SBM3,"Risk of incidents of forced labour paragraph 
14 (f)",277-280,,X
2- SBM3,"Risk of incidents of child labour paragraph 14 
(g)",277-280,,X
S1-1,S1-1 – Policies related to own workforce,281-285,,
S1-1,"Human rights policy commitments paragraph 
20",286,,X
S1-1,"Due diligence policies on issues addressed by 
the fundamental International Labor 
Organisation Conventions 1 to 8, paragraph 
21",286,,X
S1-1,"processes and measures for preventing 
trafficking in human beings’ paragraph 22",286-287,,X
S1-1,"workplace accident prevention policy or 
management system paragraph 23",286-288,,X
S1-2,"Processes for engaging with own workforce 
and workers’ representatives about impacts",290,,
S1-3,"Processes to remediate negative impacts and 
channels for own workforce to raise concerns",294-295,,
S1-3,"Grievance/complaints handling mechanisms 
paragraph 32 (c)",294-295,,X
S1-4,"Taking action on material impacts on own 
workforce, and approaches to managing 
material risks and pursuing material 
opportunities related to own workforce, and 
effectiveness of those actions",295-296,,
S1-5,"Targets related to managing material negative 
impacts, advancing positive impacts, and 
managing material risks and opportunities",296-297,,
S1-6,"Characteristics of the undertaking’s 
employees",297-300,,
S1-7,"Characteristics of non-employees in the 
undertaking’s own workforce",300,,
