0,1,2,3,4,5
"Disclosure requirement and 
related datapoint","SFDR 
reference",Pillar 3 reference,"Benchmark Regulation 
reference","EU Climate Law 
reference",Page number
ESRS 2 SBM‐1,"Indicator number 
14 Table #1 of",,"Delegated Regulation (EU) 
2020/1818, Article 12(1)",,"Not 
applicable"
"Involvement in activities related to 
controversial weapons,",Annex 1,,Delegated Regulation (EU),,according to
paragraph 40 (d) iii,,,"2020/1816, Annex II",,EFRAG Q&A
ESRS 2 SBM‐1,,,"Delegated Regulation (EU) 
2020/1818, Article 12(1)",,"Not 
applicable"
"Involvement in activities related to 
cultivation and production of",,,Delegated Regulation (EU),,according to
"tobacco,",,,"2020/1816, Annex II",,EFRAG Q&A
paragraph 40 (d) iv,,,,,
ESRS E1‐1,,,,"Regulation (EU) 
2021/1119,",94
"Transition plan to reach climate 
neutrality by 2050, paragraph 14",,,,Article 2(1),
ESRS E1‐1,,"Article 449a Regulation (EU) No 575/2013; 
Commission Implementing Regulation","Delegated Regulation (EU) 
2020/1818, Article 12.1 (d)",,94
"Undertakings excluded from Paris‐
aligned Benchmarks,",,(EU) 2022/2453 Template 1: Banking,"to (g), and Article 12.2",,
paragraph 16 (g),,"book‐Climate Change transition risk: 
Credit quality of exposures by sector,",,,
,,emissions and residual maturity,,,
ESRS E1‐4,"Indicator number 
4","Article 449a Regulation (EU) No 575/2013; 
Commission Implementing Regulation","Delegated Regulation (EU) 
2020/1818, Article 6",,97
"GHG emission reduction targets 
paragraph 34",Table #2 of Annex,(EU) 2022/2453 Template 3: Banking,,,
,1,"book‐Climate Change transition risk: 
alignment metrics",,,
ESRS E1‐5,"Indicator number 
5 Table #1 of",,,,Not material
"Energy consumption from fossil 
sources disaggregated by sources",Annex I and,,,,
"(only high climate impact sectors),","Indicator number 
5",,,,
paragraph 38,Table #2 of Annex,,,,
,1,,,,
"ESRS E1‐5 
Energy consumption and mix,","Indicator number 
5 Table #1 of",,,,Not material
paragraph 37,Annex 1,,,,
ESRS E1‐5,"Indicator number 
6 Table #1 of",,,,Not material
"Energy intensity associated with 
activities in high climate impact",Annex 1,,,,
sectors paragraphs 40 to 43,,,,,
ESRS E1‐6,"Indicators 
number 1 and 2","Article 449a Regulation (EU) No 575/2013; 
Commission Implementing Regulation","Delegated Regulation (EU) 
2020/1818, Article 5(1), 6",,101
"Gross Scope 1, 2, 3 and Total GHG 
emissions,",Table #1 of Annex,(EU) 2022/2453 Template 1: Banking,and 8(1),,
paragraph 44,1,"book‐Climate Change transition risk: 
Credit quality of exposures by sector,",,,
,,emissions and residual maturity,,,
ESRS E1‐6,"Indicators 
number 3 Table","Article 449a Regulation (EU) No 575/2013; 
Commission Implementing Regulation","Delegated Regulation (EU) 
2020/1818, Article 8(1)",,101
"Gross GHG emissions intensity 
paragraphs 53 to 55",#1 of Annex 1,(EU) 2022/2453 Template 3: Banking book,,,
,,"– Climate change transition risk: 
alignment metrics",,,
ESRS E1‐7,,,,"Regulation (EU) 
2021/1119,",110
"GHG removals and carbon credits, 
paragraph 56",,,,Article 2(1),
ESRS E1‐9,,,"Delegated Regulation (EU) 
2020/1818, Annex II",,Not material
"Exposure of the benchmark portfolio 
to climate‐related physical risks,",,,Delegated Regulation (EU),,
paragraph 66,,,"2020/1816, Annex II",,
ESRS E1‐9,,"Article 449a Regulation (EU) No 575/2013; 
Commission Implementing Regulation",,,Not material
"Disaggregation of monetary 
amounts by acute and chronic",,(EU) 2022/2453 paras. 46 and 47;,,,
,,Template 5: Banking book‐Climate Change,,,
