0,1
"E1-3 Actions and resources in relation to climate change 
policies","Environmental information - 2.2 Emissions reduction and 
climate change - 2.2.1 Approach to climate change in Exor 
(see page 114)"
"E1-4 Targets related to climate change mitigation and 
adaptation","Environmental information - 2.2 Emissions reduction and 
climate change - 2.2.1 Approach to climate change in Exor 
(see page 114)"
"E1-6 Gross Scopes 1, 2, 3 and Total GHG emissions","Environmental information - 2.2 Emissions reduction and 
climate change - 2.2.2 Emission reduction in the value chain 
(see page 116-118)"
ESRS E2 POLLUTION,
"IRO-1 Description of the processes to identify and assess 
material pollution-related impacts, risks and opportunities","Environmental information - 2.3 Environmental impacts 
across the value chain (see page 118-120)"
E2-1 Policies related to pollution,"Environmental information - 2.3 Environmental impacts 
across the value chain (see page 118-120)"
E2-2 Actions and resources related to pollution,"Environmental information - 2.3 Environmental impacts 
across the value chain (see page 118-120)"
E2-3 Targets related to pollution,"Environmental information - 2.3 Environmental impacts 
across the value chain (see page 118-120)"
ESRS E5 RESOURCE USE AND CIRCULAR ECONOMY,
"IRO-1 Description of the processes to identify and assess 
material resource use and circular economy-related impacts, 
risks and opportunities","Environmental information - 2.3 Environmental impacts 
across the value chain (see page 118-120)"
E5-1 Policies related to resource use and circular economy,"Environmental information - 2.3 Environmental impacts 
across the value chain (see page 118-120)"
"E5-2 Actions and resources related to resource use and 
circular economy","Environmental information - 2.3 Environmental impacts 
across the value chain (see page 118-120)"
E5-3 Targets related to resource use and circular economy,"Environmental information - 2.3 Environmental impacts 
across the value chain (see page 118-120)"
ESRS S1 OWN WORKFORCE,
SBM-2 Interests and views of stakeholders,"General information - 1.3 Strategy and business model (see 
page 98-99)"
"SBM-3 Material impacts, risks and opportunities and their 
interaction with strategy and business model",Social information - 3.1 Exor employees (see page 121)
S1-1 Policies related to own workforce,Social information - 3.1 Exor employees (see page 121-122)
"S1-2 Processes for engaging with own workforce and 
workers' representatives about impacts",Social information - 3.1 Exor employees (see page 123)
