0,1,2,3,4,5
The Disclosure Requirements included in this sustainability statement are listed below.,,,,,
Section / ESRS,Disclosure Requirement,Page,Section / ESRS,Disclosure Requirement,Page
General information,,,Environmental information,,
"ESRS 2 General 
Disclosures",BP-1 – General basis for preparation of sustainability statements,33,"ESRS E1 Climate 
change",ESRS 2 GOV-3 Integration of sustainability related performance in incentive schemes,64
,BP-2 – Disclosures in relation to specific circumstances,34,,E1-1 – Transition plan for climate change mitigation,65
,"GOV-1 – The role of the administrative, management and supervisory bodies",35,,"ESRS 2 SBM-3 – Material impacts, risks and opportunities and their interaction with 
strategy and business model",67
,"GOV-2 – Information provided to and sustainability matters addressed by the 
undertaking’s administrative, management and supervisory bodies",38,,ESRS 2 IRO-1 – Description of the processes to identify and assess material climate-,
,GOV-3 - Integration of sustainability-related performance in incentive schemes,38,,"related impacts, risks and opportunities",68
,GOV-4 - Statement on due diligence,39,,E1-2 – Policies related to climate change mitigation and adaptation,69
,GOV-5 - Risk management and internal controls over sustainability reporting,39,,E1-3 – Actions and resources in relation to climate change policies,70
,"SBM-1 – Strategy, business model and value chain",39,,E1-4 – Targets related to climate change mitigation and adaptation,72
,SBM-2 – Interests and views of stakeholders,41,,E1-5 – Energy consumption and mix,74
,"SBM-3 - Material impacts, risks and opportunities and their interaction with strategy 
and business model",42,,"E1-6 – Gross Scopes 1, 2, 3 and Total GHG emissions",75
,"IRO-1 - Description of the processes to identify and assess material impacts, risks and",,,E1-7 – GHG removals and GHG mitigation projects financed through carbon credits,79
,opportunities,45,,E1-8 – Internal carbon pricing,79
,"IRO-2 – Disclosure requirements in ESRS covered by the undertaking’s sustainability 
statement",47,,,
,MDR-P – Policies adopted to manage material sustainability matters,42,,,
,MDR-A – Actions and resources in relation to material sustainability matters,42,,,
,MDR-M – Metrics in relation to material sustainability matters,42,,,
,MDR-T – Tracking effectiveness of policies and actions through targets,42,,,
