0,1
"Benchmark 
Disclosure Requirement and related 
EU Climate Law 
SFDR reference 
Pillar 3 reference 
Regulation 
Pages 
datapoint 
reference 
reference",
"ESRS E5-5 Non-recycled waste 
x 
 
 
 
paragraph 37 (d)",Not material
"ESRS E5-5 Hazardous waste and 
x 
 
 
 
radioactive waste paragraph 39",Not material
"ESRS 2- SBM3 - S1 Risk of incidents of 
x 
 
 
 
forced labour paragraph 14 (f)",148
"ESRS 2- SBM3 - S1 Risk of incidents of 
x 
 
 
 
child labour paragraph 14 (g)",148
"ESRS S1-1 Human rights policy 
x 
 
 
 
commitments paragraph 20",152-153
"ESRS S1-1 Due diligence policies on 
issues addressed by the fundamental 
 
 
x 
 
International Labor Organisation 
Conventions 1 to 8, paragraph 21",152-153
"ESRS S1-1 processes and measures for 
preventing trafficking in human beings 
x 
 
 
 
paragraph 22",Not material
"ESRS S1-1 workplace accident 
prevention policy or management system 
x 
 
 
 
paragraph 23",151
"ESRS S1-3 grievance/complaints 
x 
 
 
 
handling mechanisms paragraph 32 (c)",155-156
"ESRS S1-14 Number of fatalities and 
number and rate of work-related 
x 
 
x 
 
accidents paragraph 88 (b) and (c)",167-168
"ESRS S1-14 Number of days lost to 
injuries, accidents, fatalities or illness 
x 
 
 
 
paragraph 88 (e)",167-168
"ESRS S1-16 Unadjusted gender pay gap 
x 
 
x 
 
paragraph 97 (a)",168-169
"ESRS S1-16 Excessive CEO pay ratio 
x 
 
 
 
paragraph 97 (b)",168-169
"ESRS S1-17 Incidents of discrimination 
x 
 
 
 
paragraph 103 (a)",169
"ESRS S1-17 Non-respect of UNGPs on 
Business and Human Rights and OECD 
x 
 
x 
 
Guidelines paragraph 104 (a)",169
"ESRS 2- SBM3 – S2 Significant risk of 
child labour or forced labour in the value 
x 
 
 
 
chain paragraph 11 (b)",Not material
"ESRS S2-1 Human rights policy 
x 
 
 
 
commitments paragraph 17",Not material
"ESRS S2-1 Policies related to value 
x 
 
 
 
chain workers paragraph 18",Not material
"ESRS S2-1Non-respect of UNGPs on 
Business and Human Rights principles 
x 
 
x 
 
and OECD guidelines paragraph 19",Not material
"ESRS S2-1 Due diligence policies on 
issues addressed by the fundamental 
 
 
x 
 
International Labor Organisation 
Conventions 1 to 8, paragraph 19",Not material
