0,1,2,3
"Coca-Cola HBC Integrated Annual Report 2024
67",,"Strategic Report
Corporate Governance
Financial Statements
Swiss Statutory Reporting",Supplementary Information
Sustainability Statement continued,,,
Disclosure Requirement,"Location in the sustainability 
statement (page/paragraph)",Disclosure Requirement,"Location in the sustainability 
statement (page/paragraph)"
E5-4 Resource inflows,p.127,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their 
interaction with strategy and business model",p.146
E5-5 Resource outflows,p.128,S2-1 Policies related to value chain workers,p.148
"E5-6 Anticipated financial effects from material resource use and circular 
economy-related risks and opportunities",p.129,S2-2 Processes for engaging with value chain workers about impacts,p.150
"S1. SBM-3 Material impacts, risks and opportunities and their interaction",p.130,"S2-3 Processes to remediate negative impacts and channels for value chain 
workers to raise concerns",p.151
with strategy and business model,,,
S1-1 Policies related to own workforce,p.131,"S2-4 Taking action on material impacts on value chain workers, and 
approaches to managing material risks and pursuing material opportunities",p.151
"S1-2 Processes for engaging with own workers and workers’ representatives 
about impacts",p.135,"related to value chain workers, and effectiveness of those actions",
S1-3 Processes to remediate negative impacts and channels for own,p.136,"S2-5 Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",p.153
workers to raise concerns,,"ESRS 2 SBM-3 Material impacts, risks and opportunities and their",p.155
"S1-4 Taking action on material impacts on own workforce, and approaches 
to mitigating material risks and pursuing material opportunities related to",p.137,interaction with strategy and business model,
"own workforce, and effectiveness of those actions",,S3-1 Policies related to affected communities,p.156
"S1-5 Targets related to managing material negative impacts, advancing 
positive impacts, and managing material risks and opportunities",p.141,S3-2 Processes for engaging with affected communities about impacts,p.157
S1-6 Characteristics of CCHBC’s employees,p.142,"S3-3 Processes to remediate negative impacts and channels for affected 
communities to raise concerns",p.158
S1-7 Characteristics of non-employee workers in CCHBC’s own workforce,p.143,"S3-4 Taking action on material impacts on affected communities, and",p.158
S1-8 Collective bargaining coverage and social dialogue,------,"approaches to managing material risks and pursuing material opportunities 
related to affected communities, and effectiveness of those actions",
S1-9 Diversity metrics,p.144,"S3-5 Targets related to managing material negative impacts, advancing",p.159
S1-10 Adequate wages,p.144,"positive impacts, and managing material risks and opportunities",
S1-11 Social protection,p.144,"ESRS 2 SBM-3 Impacts, risks and opportunities and their interaction with 
strategy and business model",p.161
S1-12 Persons with disabilities,------,S4-1 Policies related to consumers and end-users,p.162
S1-13 Training and skills development metrics,p.144,S4-2 Processes for engaging with consumers and end-users about impacts,p.165
S1-14 Health and safety metrics,p.144,"S4-3 Processes to remediate negative impacts and channels for consumers 
and end-users to raise concerns",p.166
S1-15 Work-life balance metrics,------,"S4-4 Taking action on material impacts on consumers and end-users, and",p.167
S1-16 Compensation metrics (pay gap and total compensation),p.145,"approaches to managing material risks and pursuing material opportunities 
related to consumers and end-users, and effectiveness of those actions",
"S1-17 Incidents, complaints, and severe human rights impacts",p.145,"S4-5 Targets related to managing material negative impacts, advancing",p.172
,,"positive impacts, and managing material risks and opportunities",
