0,1,2,3,4,5,6,7,8,9,10,11
"COMBINED MANAGEMENT REPORT  |  SUSTAINABILITY REPORT
Annex to the combined management report",,,,,,,EVONIK  FINANCIAL AND SUSTAINABILITY REPORT  2024,,,,
ESRS 2 Appendix B,,,,,,,,,,,
ESRS Index: Disclosure requirements covered,,,,,,,,,,,T70
ESRS,Disclosure,Material a,"Use of phase-
in provisions",,Page number,ESRS,Disclosure,Material a,"Use of phase-
in provisions",,Page number
E3-1,Policies related to water and marine resources,x,,,"104, 143, 180",E5-2,"Actions and resources related to resource use  
and circular economy",x,,,155 f.
E3-2,"Actions and resources related to water  
and marine resources",x,,,144 f.,E5-3,Targets related to resource use and circular economy,x,,,155 ff.
E3-3,Targets related to water and marine resources,x,,,143,E5-4,Resource inflows,x,,,158
E3-4,Water consumption,x,,,146,E5-5,Resource outflows,x,,,158
E3-5,"Anticipated financial effects from water and marine 
resources-related impacts, risks and opportunities",x,,x,,E5-6,"Anticipated financial effects from resource use  
and circular economy-related impacts, risks and",,,,
ESRS E4,Biodiversity and ecosystems,x,,,,,opportunities,x,,x,
E4-1,Transition plan and consideration of biodiversity,,,,,ESRS S1,Own workforce,x,,,
,and ecosystems in strategy and business model,x,,,147 ff.,ESRS 2 SBM-2,Interests and views of stakeholders,x,,,105 ff.
"ESRS 2 SBM-3  Material impacts, risks and opportunities and their",interaction with strategy and business model,x,,,"148, 150",,"ESRS 2 SBM-3  Material impacts, risks and opportunities and  
their interaction with strategy and business model",x,,,"170, 177, 180 f. 188, 
192"
ESRS 2 IRO-1,"Description of the processes to identify and  
assess material biodiversity and ecosystem-related",,,,,S1-1,Policies related to own workforce,x,,,"180, 188 f., 195"
,"impacts, risks and opportunities",x,,,"109, 147, 149",S1-2,"Processes for engaging with own workforce and 
workers’ representatives about impacts",x,,,"173, 188"
E4-2,Policies related to biodiversity and ecosystems,x,,,"147, 154, 156 f.",S1-3,Processes to remediate negative impacts and,,,,
E4-3,"Actions and resources related to biodiversity  
and ecosystems",x,,,"109, 148",,channels for own workforce to raise concerns,x,,,194 f.
E4-4,Targets related to biodiversity and ecosystems,x,,,148,S1-4,"Taking action on material impacts on own workforce, 
and approaches to managing material risks and pursuing",,,,
E4-5,Impact metrics related to biodiversity and,,,,,,"material opportunities related to own workforce, and 
effectiveness of those actions",x,,,"170 ff., 175, 191"
,ecosystems change,x,,,151 f.,S1-5,Targets related to managing material negative,,,,
E4-6,"Anticipated financial effects from biodiversity and 
ecosystem-related impacts, risks and opportunities",x,,x,,,"impacts, advancing positive impacts, and managing",,,,
ESRS E5,Resource use and circular economy,x,,,,,material risks and opportunities,x,,,"171 ff., 175, 177,"
ESRS 2 IRO-1,Description of the processes to identify and assess,,,,,S1-6,Characteristics of the undertaking’s employees,x,,,175 f.
,material resource use and circular economy-related,,,,,S1-7,"Characteristics of non-employees in the  
undertaking’s own workforce",,,,
,"impacts, risks and opportunities",x,,,"153 f., 157",S1-8,Collective bargaining coverage and social dialogue,x,,,173 f.
E5-1,Policies related to resource use and circular economy,x,,,154 f.,S1-9,Diversity metrics,x,,,"121 f., 178 f."
,,,,,,S1-10,Adequate wages,x,,,172
,,,,,,,a  Classified based on the materiality assessment and ESRS 2 AR 16.,,,,
