0,1,2,3
CONTENTS,,,
General disclosures,,Social,
Disclosure requirements index,53.0,S1 Own workforce,88.0
"How the sustainability statement has 
been prepared",55.0,S2 Workers in the value chain,96.0
Strategy and business model,55.0,S4 Consumers and end-users,99.0
ESG governance,56.0,Governance,
"Identifying impacts, risks and",59.0,G1 Business conduct,103.0
opportunities & mapping our value chain,,Appendices,
"Conducting our double materiality 
assessment",60.0,Appendix 1: Data points that derive from,106.0
Sustainability due diligence,61.0,other EU legislation,
ESG risk management,61.0,"Appendix 2: Emission factors applied to 
Scope 1-3 GHG emissions",108.0
Engaging with our stakeholders,62.0,Appendix 3: BP-2 disclosures on value,108.0
Environment,,"chain estimates and measurement 
uncertainties",
E1 Climate change,63.0,Appendix 4: Additional accounting,110.0
EU Taxonomy,74.0,policies,
E3 Water and marine resources,78.0,,
E4 Biodiversity and ecosystems,81.0,,
E5 Resource use and circular economy,84.0,,
