0,1,2,3,4
"Social 
ESRS S1 & S2",,,,
Disclosure requirement,,Reference,"Mandatory (M) / 
Voluntary (V)  
disclosure",Page
S1-5,"Targets related to managing material 
negative impacts, advancing positive 
impacts, and managing material risks 
and opportunities","Occupational health and safety
Employee training and development",M,"124, 
130"
S1-6,"Characteristics of the undertaking’s 
employees",Labor rights,M,118
S1-7,"Characteristics of non-employee 
workers in the undertaking’s own 
workforce",Labor rights,M,118
S1-9,Diversity metrics,Labor rights,V,120
S1-13,"Training and skills development 
metrics",Employee training and development,M,131
S1-14,Health and safety metrics,Occupational health and safety,M,126
S1-17,"Incidents, complaints and severe 
human rights impacts",Human and labor rights,V,121
S2-1,"Policies related to value chain 
workers",Human and labor rights,M,122
S2-2,"Processes for engaging with value 
chain workers about impacts","Human and labor rights
Occupational health and safety",M,"118, 
124"
S2-3,"Processes to remediate negative 
impacts and channels for value chain 
workers to raise concerns","Human and labor rights
Occupational health and safety",M,"118, 
124"
S2-4,"Taking action on material impacts on 
value chain workers, and approaches 
to managing material risks and 
pursuing material opportunities 
related to value chain workers, and 
effectiveness of those action","Human and labor rights
Occupational health and safety",M,"118, 
124"
S2-5,"Targets related to managing material 
negative impacts, advancing positive 
impacts, and managing material risks 
and opportunities","Human and labor rights
Occupational health and safety",M,"118, 
124"
