0,1,2,3,4,5,6,7,8
Disclosure,,,SFDR,Pillar 3,"Benchmark
regulation","EU Climate
Law",,
requirement,Data point,Sustainability statement — Appendix,reference,reference,reference,reference,Section,Page
ESRS E4-2,24 (b),Sustainable land/agriculture practices or policies,x,,,,Not stated,-
ESRS E4-2,24 (c),Sustainable oceans/seas practices or policies,x,,,,Not stated,-
ESRS E4-2,24 (d),Policies to address deforestation,x,,,,Not stated,-
ESRS E5-5,37 (d),Non-recycled waste,x,,,,SUS,101
ESRS E5-5,39,Hazardous waste and radioactive waste,x,,,,SUS,101
ESRS 2- SBM3 - S1,14 (f ),Risk of incidents of forced labor,x,,,,Not stated,-
ESRS 2- SBM3 - S1,14 (g),Risk of incidents of child labor,x,,,,Not stated,-
ESRS S1-1,20,Human rights policy commitments,x,,,,SUS,87
ESRS S1-1,21,Due diligence policies on issues addressed by the fundamental International Labor Organisation Conventions 1 to 8,,,x,,SUS,87
ESRS S1-1,22,Processes and measures for preventing trafficking in human beings,x,,,,SUS,87
ESRS S1-1,23,Workplace accident prevention policy or management system,x,,,,SUS,81
ESRS S1-3,32 (c),Grievance/complaints handling mechanisms,x,,,,SUS,90
ESRS S1-14,88 (b) and (c),Number of fatalities and number and rate of work-related accidents,x,,x,,SUS,81
ESRS S1-14,88 (e),"Number of days lost to injuries, accidents, fatalities, or illness",x,,,,Not stated,-
ESRS S1-16,97 (a),Unadjusted gender pay gap,x,,x,,SUS,101
ESRS S1-16,97 (b),Excessive CEO pay ratio,x,,,,SUS,101
ESRS S1-17,103 (a),Incidents of discrimination,x,,,,SUS,91
ESRS S1-17,104 (a),Non-respect of UNGPs on Business and Human Rights and OECD,x,,x,,SUS,91
ESRS 2- SBM3 - S2,11 (b),Significant risk of child labor or forced labor in the value chain,x,,,,Not stated,-
ESRS S2-1,17,Human rights policy commitments,x,,,,SUS,87
ESRS S2-1,18,Policies related to value chain workers,x,,,,SUS,"87,92"
ESRS S2-1,19,Non-respect of UNGPs on Business and Human Rights principles and OECD guidelines,x,,x,,Not stated,-
ESRS S2-1,19,Due diligence policies on issues addressed by the fundamental International Labor Organisation Conventions 1 to 8,,,x,,SUS,87
ESRS S2-4,36,Human rights issues and incidents connected to its upstream and downstream value chain,x,,,,SUS,91
ESRS S3-1,16,Human rights policy commitments,x,,,,Not stated,-
ESRS S3-1,17,"Non-respect of UNGPs on Business and Human Rights, ILO principles, and OECD guidelines",x,,x,,Not stated,-
ESRS S3-4,36,Human rights issues and incidents,x,,,,SUS,91
ESRS S4-1,16,Policies related to consumers and end users,x,,,,Not stated,-
ESRS S4-1,17,Non-respect of UNGPs on Business and Human Rights and OECD guidelines,x,,x,,Not stated,-
ESRS S4-4,35,Human rights issues and incidents,x,,,,Not stated,-
ESRS G1-1,10 (b),United Nations Convention against Corruption,x,,,,Not relevant,-
ESRS G1-1,10 (d),Protection of whistleblowers,x,,,,Not relevant,-
ESRS G1-4,24 (a),Fines for violation of anti-corruption and anti-bribery laws,x,,x,,SUS,91
ESRS G1-4,24 (b),Standards of anti- corruption and anti-bribery,x,,,,Not relevant,-
The table above provides an overview of ESRS data points and where these can be found in this report. From 2025 Danfoss will provide full disclosure on all mandatory and material ESRS data points.,,,,,,,,
